3x3,  2871.txt, astar, disjointPDBVertical,    14, 1.16,    13,  4676
3x3,  2872.txt, astar, disjointPDBVertical,    50, 1.31,    13,  4852
3x3,  2873.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4764
3x3,  2874.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4706
3x3,  4743.txt, astar, disjointPDBVertical,   110, 1.37,    14,  4734
3x3,  4744.txt, astar, disjointPDBVertical,    46, 1.27,    14,  4807
3x3,  4745.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4719
3x3,  4746.txt, astar, disjointPDBVertical,    28, 1.22,    14,  4737
3x3,  4747.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4744
3x3,  4748.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4808
3x3,  4749.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4846
3x3,  4750.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4765
3x3,  4751.txt, astar, disjointPDBVertical,    61, 1.31,    14,  4785
3x3,  4752.txt, astar, disjointPDBVertical,    29, 1.22,    14,  4797
3x3,  4753.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4763
3x3,  4754.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4781
3x3,  4755.txt, astar, disjointPDBVertical,    16, 1.15,    14,  4749
3x3,  4756.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4853
3x3,  4757.txt, astar, disjointPDBVertical,    33, 1.24,    14,  4706
3x3,  4758.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4715
3x3,  4759.txt, astar, disjointPDBVertical,    14, 1.13,    14,  4733
3x3,  4760.txt, astar, disjointPDBVertical,    18, 1.16,    14,  4818
3x3,  4761.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4784
3x3,  4762.txt, astar, disjointPDBVertical,    15, 1.13,    14,  4738
3x3,  4763.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4813
3x3,  4764.txt, astar, disjointPDBVertical,   350, 1.52,    14,  4808
3x3,  4765.txt, astar, disjointPDBVertical,    16, 1.15,    14,  4746
3x3,  4766.txt, astar, disjointPDBVertical,    28, 1.21,    14,  4754
3x3,  4767.txt, astar, disjointPDBVertical,    15, 1.14,    14,  4702
3x3,  7255.txt, astar, disjointPDBVertical,    18, 1.14,    15,  4688
3x3,  7256.txt, astar, disjointPDBVertical,    39, 1.23,    15,  4685
3x3,  7257.txt, astar, disjointPDBVertical,    18, 1.15,    15,  4693
