size,heur,expanded,branching,cost,time
3x3,disjointPDBMax,40,1.2,16,6546
3x3,disjointPDBMax,6,1.31,6,6545
3x3,disjointPDBMax,16,1.13,15,6544
3x3,disjointPDBMax,123,1.23,20,6544
3x3,disjointPDBMax,14,1.13,14,6543
3x3,disjointPDBMax,22,1.1,20,6541
3x3,disjointPDBMax,12,1.16,12,6538
3x3,disjointPDBMax,14,1.17,12,6538
3x3,disjointPDBMax,13,1.14,13,6538
3x3,disjointPDBMax,16,1.13,15,6538
3x3,disjointPDBMax,12,1.16,12,6537
3x3,disjointPDBMax,1,3,1,6534
3x3,disjointPDBMax,5,1.39,5,6534
3x3,disjointPDBMax,11,1.18,11,6534
3x3,disjointPDBMax,10,1.19,10,6533
3x3,disjointPDBMax,9,1.22,9,6532
3x3,disjointPDBMax,26,1.11,20,6528
3x3,disjointPDBMax,11,1.18,11,6527
3x3,disjointPDBMax,15,1.12,15,6527
3x3,disjointPDBMax,163,1.36,16,6527
3x3,disjointPDBMax,20,1.09,20,6527
3x3,disjointPDBMax,12,1.15,12,6525
3x3,disjointPDBMax,5,1.39,5,6524
3x3,disjointPDBMax,5,1.39,5,6523
3x3,disjointPDBMax,8,1.24,8,6522
3x3,disjointPDBMax,18,1.12,17,6522
3x3,disjointPDBMax,14,1.14,13,6521
3x3,disjointPDBMax,21,1.15,15,6521
3x3,disjointPDBMax,12,1.16,12,6519
3x3,disjointPDBMax,14,1.13,14,6519
3x3,disjointPDBMax,7,1.29,7,6518
3x3,disjointPDBMax,16,1.12,16,6518
3x3,disjointPDBMax,16,1.12,16,6518
3x3,disjointPDBMax,25,1.23,13,6517
3x3,disjointPDBMax,185,1.27,20,6517
3x3,disjointPDBMax,3,1.74,3,6510
3x3,disjointPDBMax,9,1.2,9,6510
3x3,disjointPDBMax,182,1.27,20,6510
3x3,disjointPDBMax,8,1.24,8,6509
3x3,disjointPDBMax,8,1.24,8,6508
3x3,disjointPDBMax,9,1.22,9,6508
3x3,disjointPDBMax,11,1.18,11,6506
3x3,disjointPDBMax,12,1.16,12,6506
3x3,disjointPDBMax,14,1.13,14,6506
3x3,disjointPDBMax,26,1.16,16,6506
3x3,disjointPDBMax,12,1.16,12,6505
3x3,disjointPDBMax,4,1.4,4,6501
3x3,disjointPDBMax,2,2.19,2,6500
3x3,disjointPDBMax,14,1.13,14,6500
3x3,disjointPDBMax,20,1.14,16,6500
3x3,disjointPDBMax,15,1.14,14,6499
3x3,disjointPDBMax,19,1.15,15,6499
3x3,disjointPDBMax,33,1.13,20,6499
3x3,disjointPDBMax,4,1.49,4,6498
3x3,disjointPDBMax,42,1.24,15,6498
3x3,disjointPDBMax,26,1.12,20,6498
3x3,disjointPDBMax,18,1.21,12,6496
3x3,disjointPDBMax,29,1.2,15,6496
3x3,disjointPDBMax,21,1.16,15,6496
3x3,disjointPDBMax,2,1.79,2,6495
3x3,disjointPDBMax,8,1.24,8,6495
3x3,disjointPDBMax,8,1.31,7,6494
3x3,disjointPDBMax,12,1.13,12,6494
3x3,disjointPDBMax,15,1.12,15,6494
3x3,disjointPDBMax,7,1.27,7,6493
3x3,disjointPDBMax,27,1.12,20,6492
3x3,disjointPDBMax,4,1.49,4,6489
3x3,disjointPDBMax,6,1.31,6,6489
3x3,disjointPDBMax,10,1.19,10,6489
3x3,disjointPDBMax,15,1.16,13,6489
3x3,disjointPDBMax,6,1.34,6,6488
3x3,disjointPDBMax,8,1.24,8,6488
3x3,disjointPDBMax,13,1.15,13,6486
3x3,disjointPDBMax,7,1.29,7,6485
3x3,disjointPDBMax,23,1.25,12,6485
3x3,disjointPDBMax,15,1.14,14,6485
3x3,disjointPDBMax,16,1.12,16,6484
3x3,disjointPDBMax,2,2.19,2,6480
3x3,disjointPDBMax,12,1.14,12,6480
3x3,disjointPDBMax,13,1.15,13,6479
3x3,disjointPDBMax,7,1.27,7,6478
3x3,disjointPDBMax,9,1.22,9,6478
3x3,disjointPDBMax,17,1.14,15,6478
3x3,disjointPDBMax,3,1.58,3,6477
3x3,disjointPDBMax,11,1.16,11,6477
3x3,disjointPDBMax,19,1.13,16,6477
3x3,disjointPDBMax,8,1.22,8,6476
3x3,disjointPDBMax,116,1.32,16,6475
3x3,disjointPDBMax,13,1.15,13,6474
3x3,disjointPDBMax,4,1.49,4,6473
3x3,disjointPDBMax,26,1.26,12,6473
3x3,disjointPDBMax,11,1.17,11,6472
3x3,disjointPDBMax,21,1.15,16,6470
3x3,disjointPDBMax,14,1.13,14,6469
3x3,disjointPDBMax,4,1.4,4,6468
3x3,disjointPDBMax,6,1.31,6,6468
3x3,disjointPDBMax,6,1.31,6,6468
3x3,disjointPDBMax,15,1.13,15,6467
3x3,disjointPDBMax,11,1.21,10,6466
3x3,disjointPDBMax,7,1.29,7,6465
3x3,disjointPDBMax,7,1.27,7,6465
3x3,disjointPDBMax,12,1.15,12,6465
3x3,disjointPDBMax,10,1.2,10,6464
3x3,disjointPDBMax,12,1.15,12,6464
3x3,disjointPDBMax,7,1.27,7,6463
3x3,disjointPDBMax,5,1.34,5,6462
3x3,disjointPDBMax,14,1.13,14,6462
3x3,disjointPDBMax,6,1.27,6,6461
3x3,disjointPDBMax,12,1.16,12,6461
3x3,disjointPDBMax,14,1.13,14,6460
3x3,disjointPDBMax,15,1.13,15,6460
3x3,disjointPDBMax,13,1.15,13,6459
3x3,disjointPDBMax,3,1.74,3,6458
3x3,disjointPDBMax,16,1.12,16,6458
3x3,disjointPDBMax,9,1.2,9,6457
3x3,disjointPDBMax,5,1.39,5,6455
3x3,disjointPDBMax,9,1.22,9,6455
