3x3, 37794.txt, ida, linearConflict, 14919, 1.57,    19,   426
3x3, 37795.txt, ida, linearConflict,  7047, 1.51,    19,   261
3x3, 37796.txt, ida, linearConflict,   954, 1.33,    19,   108
3x3, 37797.txt, ida, linearConflict,  2306, 1.41,    19,   144
3x3, 37798.txt, ida, linearConflict,   622, 1.30,    19,    83
3x3, 37799.txt, ida, linearConflict,   736, 1.31,    19,    93
3x3, 37800.txt, ida, linearConflict,  1903, 1.39,    19,   146
3x3, 37801.txt, ida, linearConflict,   363, 1.25,    19,    62
3x3, 37802.txt, ida, linearConflict,  1132, 1.35,    19,   104
3x3, 37803.txt, ida, linearConflict,  1703, 1.38,    19,   132
3x3, 37804.txt, ida, linearConflict,   580, 1.29,    19,    79
3x3, 37805.txt, ida, linearConflict, 10865, 1.54,    19,   310
3x3, 37806.txt, ida, linearConflict,  2492, 1.42,    19,   153
3x3, 37807.txt, ida, linearConflict,  1190, 1.35,    19,   117
3x3, 37808.txt, ida, linearConflict,  1209, 1.35,    19,   108
3x3, 37809.txt, ida, linearConflict, 16085, 1.58,    19,   405
3x3, 54773.txt, ida, linearConflict,  6453, 1.46,    20,   262
3x3, 54774.txt, ida, linearConflict,  1116, 1.32,    20,   111
3x3, 54775.txt, ida, linearConflict,  1633, 1.35,    20,   128
3x3, 54777.txt, ida, linearConflict, 17974, 1.55,    20,   431
3x3, 54778.txt, ida, linearConflict,   784, 1.30,    20,    87
3x3, 54779.txt, ida, linearConflict,   367, 1.24,    20,    62
3x3, 54780.txt, ida, linearConflict,  1534, 1.35,    20,   117
3x3, 54782.txt, ida, linearConflict,   183, 1.18,    20,    42
3x3, 54783.txt, ida, linearConflict, 10958, 1.51,    20,   304
3x3, 54784.txt, ida, linearConflict,   100, 1.14,    20,    35
3x3, 54785.txt, ida, linearConflict,  2367, 1.38,    20,   160
3x3, 54787.txt, ida, linearConflict,   434, 1.25,    20,    67
3x3, 54788.txt, ida, linearConflict,   648, 1.28,    20,    80
3x3, 54789.txt, ida, linearConflict, 193526, 1.76,    20,  2552
3x3, 54790.txt, ida, linearConflict,  7067, 1.47,    20,   243
