boardID,algo,heur,size,expanded,branching,time,cost
75.txt,astar,linearConflict,4x4,5,0.39,46,5
76.txt,astar,linearConflict,4x4,5,0.42,44,5
77.txt,astar,linearConflict,4x4,5,0.44,46,5
78.txt,astar,linearConflict,4x4,5,0.48,46,5
79.txt,astar,linearConflict,4x4,6,0.48,48,5
80.txt,astar,linearConflict,4x4,5,0.39,44,5
81.txt,astar,linearConflict,4x4,5,0.46,45,5
82.txt,astar,linearConflict,4x4,5,0.44,46,5
83.txt,astar,linearConflict,4x4,5,0.44,45,5
84.txt,astar,linearConflict,4x4,5,0.42,46,5
85.txt,astar,linearConflict,4x4,5,0.48,46,5
86.txt,astar,linearConflict,4x4,5,0.46,45,5
87.txt,astar,linearConflict,4x4,5,0.48,45,5
